#ZhuYin	RCD-I-1	FIANL-1
ㄧㄠ	sic_i	iau
ㄧㄡ	sic_i	iou
ㄧㄢ	sic_i	ian
ㄧㄣ	sic_i	in
ㄧㄤ	sic_i	iang
ㄧㄥ	sic_i	ing
ㄨ	sic_u	u
ㄨㄚ	sic_u	ua
ㄨㄛ	sic_u	uo
ㄨㄞ	sic_u	uai
ㄨㄟ	sic_u	uei
ㄨㄢ	sic_u	uan
ㄨㄣ	sic_u	uen
ㄨㄤ	sic_u	uang
ㄨㄥ	sic_u	ueng
ㄩ	sic_iu	iu
ㄩㄝ	sic_iu	iue
ㄩㄢ	sic_iu	iuan
ㄩㄣ	sic_iu	iun
ㄩㄥ	sic_iu	iung
